Year,Paper_Session,Paper_Varient,Q2_Topics
2024,MJ,12,the account of the compilation of the Qur’an under the Rightly Guided Caliphs 
2023,MJ,12,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632
2022,MJ,12,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632
2021,MJ,12,the account of the compilation of the Qur’an under the Rightly Guided Caliphs 
2020,MJ,12,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages 
2019,MJ,12,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages 
2018,MJ,12,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632
2017,MJ,12,"the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages 
"
2016,MJ,12,"the use of the Qur’an in legal thinking, and its relationship with the Hadiths, consensus (ijma‘ ) and analogy (qiyas) "
2015,MJ,12,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages 
2014,MJ,12,"the use of the Qur’an in legal thinking, and its relationship with the Hadiths, consensus (ijma‘ ) and analogy (qiyas) "
2013,MJ,12,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632
2012,MJ,12,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages 
2011,MJ,12,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages 
2010,MJ,12,the account of the compilation of the Qur’an under the Rightly Guided Caliphs 